,name,shortcode,current
0,AFC Bournemouth,BOU,True
1,Arsenal FC,ARS,True
2,Aston Villa,ASV,True
3,Barnsley FC,BLY,False
4,Birmingham City,BIR,False
5,Blackburn Rovers,BLA,False
6,Blackpool FC,BLP,False
7,Bolton Wanderers,BOL,False
8,Bradford City,BRA,False
9,Brentford FC,BRE,True
10,Brighton & Hove Albion,BHA,True
11,Burnley FC,BUR,False
12,Cardiff City,CAR,False
13,Charlton Athletic,CHA,False
14,Chelsea FC,CHE,True
15,Coventry City,COV,False
16,Crystal Palace,CRY,True
17,Derby County,DER,False
18,Everton FC,EVE,True
19,Fulham FC,FUL,True
20,Huddersfield Town,HUD,False
21,Hull City,HUL,False
22,Ipswich Town,IPW,True
23,Leeds United,LEE,False
24,Leicester City,LEI,True
25,Liverpool FC,LIV,True
26,Manchester City,MCI,True
27,Manchester United,MUN,True
28,Middlesbrough FC,MID,False
29,Newcastle United,NEW,True
30,Norwich City,NOR,False
31,Nottingham Forest,NFO,True
32,Oldham Athletic,OLD,False
33,Portsmouth FC,POR,False
34,Queens Park Rangers,QPR,False
35,Reading FC,REA,False
36,Sheffield United,SHU,False
37,Sheffield Wednesday,SHW,False
38,Southampton FC,SOU,True
39,Stoke City,STO,False
40,Sunderland AFC,SUN,False
41,Swansea City,SWA,False
42,Swindon Town,SWI,False
43,Tottenham Hotspur,TOT,True
44,Watford FC,WAT,False
45,West Bromwich Albion,WBA,False
46,West Ham United,WHU,True
47,Wigan Athletic,WIG,False
48,Wimbledon FC,WIM,False
49,Wolverhampton Wanderers,WOL,True
50,Luton Town,LUT,False
